location_id,ts,congestion_level,delay_minutes,dataset_label
downtown_1,2026-02-07T05:47:37.626225,1,4.2,dataset_a
downtown_1,2026-02-07T06:02:37.626225,1,3.8,dataset_a
downtown_1,2026-02-07T06:17:37.626225,1,2.17,dataset_a
downtown_1,2026-02-07T06:32:37.626225,1,4.6,dataset_a
downtown_1,2026-02-07T06:47:37.626225,2,4.12,dataset_a
downtown_1,2026-02-07T07:02:37.626225,3,14.73,dataset_a
downtown_1,2026-02-07T07:17:37.626225,2,5.09,dataset_a
downtown_1,2026-02-07T07:32:37.626225,3,7.65,dataset_a
downtown_1,2026-02-07T07:47:37.626225,3,9.89,dataset_a
downtown_1,2026-02-07T08:02:37.626225,1,2.87,dataset_a
downtown_1,2026-02-07T08:17:37.626225,2,5.75,dataset_a
downtown_1,2026-02-07T08:32:37.626225,3,9.3,dataset_a
downtown_1,2026-02-07T08:47:37.626225,3,7.8,dataset_a
downtown_1,2026-02-07T09:02:37.626225,1,3.54,dataset_a
downtown_1,2026-02-07T09:17:37.626225,1,3.82,dataset_a
downtown_1,2026-02-07T09:32:37.626225,1,2.51,dataset_a
downtown_1,2026-02-07T09:47:37.626225,1,4.05,dataset_a
downtown_1,2026-02-07T10:02:37.626225,1,3.32,dataset_a
downtown_1,2026-02-07T10:17:37.626225,1,2.1,dataset_a
downtown_1,2026-02-07T10:32:37.626225,1,4.73,dataset_a
downtown_1,2026-02-07T10:47:37.626225,1,2.94,dataset_a
downtown_1,2026-02-07T11:02:37.626225,1,3.56,dataset_a
downtown_1,2026-02-07T11:17:37.626225,1,4.91,dataset_a
downtown_1,2026-02-07T11:32:37.626225,1,4.33,dataset_a
downtown_1,2026-02-07T11:47:37.626225,1,2.27,dataset_a
downtown_1,2026-02-07T12:02:37.626225,1,2.59,dataset_a
downtown_1,2026-02-07T12:17:37.626225,1,3.17,dataset_a
downtown_1,2026-02-07T12:32:37.626225,1,2.81,dataset_a
downtown_1,2026-02-07T12:47:37.626225,1,2.84,dataset_a
downtown_1,2026-02-07T13:02:37.626225,2,7.26,dataset_a
downtown_1,2026-02-07T13:17:37.626225,1,2.22,dataset_a
downtown_1,2026-02-07T13:32:37.626225,1,4.96,dataset_a
downtown_1,2026-02-07T13:47:37.626225,1,2.02,dataset_a
downtown_1,2026-02-07T14:02:37.626225,1,4.45,dataset_a
downtown_1,2026-02-07T14:17:37.626225,2,8.63,dataset_a
downtown_1,2026-02-07T14:32:37.626225,2,4.44,dataset_a
downtown_1,2026-02-07T14:47:37.626225,1,4.59,dataset_a
downtown_1,2026-02-07T15:02:37.626225,1,3.87,dataset_a
downtown_1,2026-02-07T15:17:37.626225,1,2.93,dataset_a
downtown_1,2026-02-07T15:32:37.626225,1,2.98,dataset_a
downtown_1,2026-02-07T15:47:37.626225,1,4.66,dataset_a
downtown_1,2026-02-07T16:02:37.626225,3,10.25,dataset_a
downtown_1,2026-02-07T16:17:37.626225,3,12.85,dataset_a
downtown_1,2026-02-07T16:32:37.626225,2,7.37,dataset_a
downtown_1,2026-02-07T16:47:37.626225,2,7.14,dataset_a
downtown_1,2026-02-07T17:02:37.626225,3,9.85,dataset_a
downtown_1,2026-02-07T17:17:37.626225,3,8.83,dataset_a
downtown_1,2026-02-07T17:32:37.626225,2,7.05,dataset_a
downtown_1,2026-02-07T17:47:37.626225,2,6.46,dataset_a
downtown_1,2026-02-07T18:02:37.626225,1,4.27,dataset_a
downtown_1,2026-02-07T18:17:37.626225,1,4.79,dataset_a
downtown_1,2026-02-07T18:32:37.626225,1,4.42,dataset_a
downtown_1,2026-02-07T18:47:37.626225,2,8.82,dataset_a
downtown_1,2026-02-07T19:02:37.626225,1,2.56,dataset_a
downtown_1,2026-02-07T19:17:37.626225,1,4.42,dataset_a
downtown_1,2026-02-07T19:32:37.626225,2,9.38,dataset_a
downtown_1,2026-02-07T19:47:37.626225,1,2.68,dataset_a
downtown_1,2026-02-07T20:02:37.626225,1,3.28,dataset_a
downtown_1,2026-02-07T20:17:37.626225,1,2.02,dataset_a
downtown_1,2026-02-07T20:32:37.626225,1,3.53,dataset_a
downtown_1,2026-02-07T20:47:37.626225,1,2.36,dataset_a
downtown_1,2026-02-07T21:02:37.626225,1,3.01,dataset_a
downtown_1,2026-02-07T21:17:37.626225,1,3.56,dataset_a
downtown_1,2026-02-07T21:32:37.626225,1,4.11,dataset_a
downtown_1,2026-02-07T21:47:37.626225,1,4.89,dataset_a
downtown_1,2026-02-07T22:02:37.626225,1,2.76,dataset_a
downtown_1,2026-02-07T22:17:37.626225,1,2.85,dataset_a
downtown_1,2026-02-07T22:32:37.626225,1,2.11,dataset_a
downtown_1,2026-02-07T22:47:37.626225,1,2.15,dataset_a
downtown_1,2026-02-07T23:02:37.626225,2,5.67,dataset_a
downtown_1,2026-02-07T23:17:37.626225,1,2.43,dataset_a
downtown_1,2026-02-07T23:32:37.626225,1,3.47,dataset_a
downtown_1,2026-02-07T23:47:37.626225,2,5.43,dataset_a
downtown_1,2026-02-08T00:02:37.626225,1,4.18,dataset_a
downtown_1,2026-02-08T00:17:37.626225,2,7.8,dataset_a
downtown_1,2026-02-08T00:32:37.626225,1,3.61,dataset_a
downtown_1,2026-02-08T00:47:37.626225,1,2.12,dataset_a
downtown_1,2026-02-08T01:02:37.626225,1,3.77,dataset_a
downtown_1,2026-02-08T01:17:37.626225,1,3.94,dataset_a
downtown_1,2026-02-08T01:32:37.626225,1,2.52,dataset_a
downtown_1,2026-02-08T01:47:37.626225,1,4.81,dataset_a
downtown_1,2026-02-08T02:02:37.626225,2,4.83,dataset_a
downtown_1,2026-02-08T02:17:37.626225,1,4.77,dataset_a
downtown_1,2026-02-08T02:32:37.626225,1,4.63,dataset_a
downtown_1,2026-02-08T02:47:37.626225,1,4.45,dataset_a
downtown_1,2026-02-08T03:02:37.626225,1,3.67,dataset_a
downtown_1,2026-02-08T03:17:37.626225,1,2.28,dataset_a
downtown_1,2026-02-08T03:32:37.626225,1,4.69,dataset_a
downtown_1,2026-02-08T03:47:37.626225,1,3.02,dataset_a
downtown_1,2026-02-08T04:02:37.626225,1,3.05,dataset_a
downtown_1,2026-02-08T04:17:37.626225,1,4.66,dataset_a
downtown_1,2026-02-08T04:32:37.626225,1,4.34,dataset_a
downtown_1,2026-02-08T04:47:37.626225,1,2.48,dataset_a
downtown_1,2026-02-08T05:02:37.626225,1,4.7,dataset_a
downtown_1,2026-02-08T05:17:37.626225,1,2.02,dataset_a
downtown_1,2026-02-08T05:32:37.626225,1,2.48,dataset_a
downtown_1,2026-02-08T05:47:37.626225,2,7.91,dataset_a
downtown_1,2026-02-08T06:02:37.626225,1,2.67,dataset_a
downtown_1,2026-02-08T06:17:37.626225,1,2.98,dataset_a
downtown_1,2026-02-08T06:32:37.626225,1,4.24,dataset_a
downtown_1,2026-02-08T06:47:37.626225,2,7.95,dataset_a
